Frame,Time (s),Status,Confidence
266,8.87,Crash Detected,"0.44, 0.29"
267,8.9,Crash Detected,"0.35, 0.29"
270,9.0,Crash Detected,"0.40, 0.28"
271,9.03,Crash Detected,"0.36, 0.26"
272,9.07,Crash Detected,"0.34, 0.27"
273,9.1,Crash Detected,"0.41, 0.39"
274,9.13,Crash Detected,"0.26, 0.26"
276,9.2,Crash Detected,"0.34, 0.33"
277,9.23,Crash Detected,"0.62, 0.28"
289,9.63,Crash Detected,"0.64, 0.30"
290,9.67,Crash Detected,"0.55, 0.34"
